Time	Compartments[Venous balloon].Volume	Values[is_rising]	Values[is_falling]	Values[is_maximum]	Values[slope_up]	Values[maximum]	Values[slope_down]	Values[F_in]	Values[F_out]
441	0.02376287	0	0	0	0.5292	0.006	-0.0912	0.012	0.01200341
442.5	0.02375796	0	0	0	0.531	0.006	-0.093	0.012	0.01200314
444	0.02375343	0	0	0	0.5328	0.006	-0.0948	0.012	0.0120029
445.5	0.02374926	0	0	0	0.5346	0.006	-0.0966	0.012	0.01200267
447	0.02374542	0	0	0	0.5364	0.006	-0.0984	0.012	0.01200246
448.5	0.02374187	0	0	0	0.5382	0.006	-0.1002	0.012	0.01200227
450	0.0237386	0	0	0	0.54	0.006	-0.102	0.012	0.01200209
451.5	0.02373559	0	0	0	0.5418	0.006	-0.1038	0.012	0.01200193
453	0.02373281	0	0	0	0.5436	0.006	-0.1056	0.012	0.01200178
454.5	0.02373025	0	0	0	0.5454	0.006	-0.1074	0.012	0.01200164
456	0.02372789	0	0	0	0.5472	0.006	-0.1092	0.012	0.01200151
457.5	0.02372572	0	0	0	0.549	0.006	-0.111	0.012	0.01200139
459	0.02372371	0	0	0	0.5508	0.006	-0.1128	0.012	0.01200128
460.5	0.02372186	0	0	0	0.5526	0.006	-0.1146	0.012	0.01200118
462	0.02372016	0	0	0	0.5544	0.006	-0.1164	0.012	0.01200109
463.5	0.02371858	0	0	0	0.5562	0.006	-0.1182	0.012	0.01200101
465	0.02371713	0	0	0	0.558	0.006	-0.12	0.012	0.01200093
466.5	0.0237158	0	0	0	0.5598	0.006	-0.1218	0.012	0.01200086
468	0.02371457	0	0	0	0.5616	0.006	-0.1236	0.012	0.01200079
469.5	0.02371343	0	0	0	0.5634	0.006	-0.1254	0.012	0.01200073
471	0.02371238	0	0	0	0.5652	0.006	-0.1272	0.012	0.01200067
472.5	0.02371142	0	0	0	0.567	0.006	-0.129	0.012	0.01200062
474	0.02371053	0	0	0	0.5688	0.006	-0.1308	0.012	0.01200057
475.5	0.02370971	0	0	0	0.5706	0.006	-0.1326	0.012	0.01200053
477	0.02370895	0	0	0	0.5724	0.006	-0.1344	0.012	0.01200048
478.5	0.02370825	0	0	0	0.5742	0.006	-0.1362	0.012	0.01200045
480	0.02370761	0	0	0	0.576	0.006	-0.138	0.012	0.01200041
481.5	0.02370702	0	0	0	0.5778	0.006	-0.1398	0.012	0.01200038
483	0.02370647	0	0	0	0.5796	0.006	-0.1416	0.012	0.01200035
484.5	0.02370596	0	0	0	0.5814	0.006	-0.1434	0.012	0.01200032
486	0.0237055	0	0	0	0.5832	0.006	-0.1452	0.012	0.0120003
487.5	0.02370507	0	0	0	0.585	0.006	-0.147	0.012	0.01200027
489	0.02370468	0	0	0	0.5868	0.006	-0.1488	0.012	0.01200025
490.5	0.02370431	0	0	0	0.5886	0.006	-0.1506	0.012	0.01200023
492	0.02370398	0	0	0	0.5904	0.006	-0.1524	0.012	0.01200022
493.5	0.02370367	0	0	0	0.5922	0.006	-0.1542	0.012	0.0120002
495	0.02370338	0	0	0	0.594	0.006	-0.156	0.012	0.01200018
496.5	0.02370312	0	0	0	0.5958	0.006	-0.1578	0.012	0.01200017
498	0.02370287	0	0	0	0.5976	0.006	-0.1596	0.012	0.01200016
499.5	0.02370265	0	0	0	0.5994	0.006	-0.1614	0.012	0.01200014
501	0.02370244	0	0	0	0.6012	0.006	-0.1632	0.012	0.01200013
502.5	0.02370225	0	0	0	0.603	0.006	-0.165	0.012	0.01200012
504	0.02370208	0	0	0	0.6048	0.006	-0.1668	0.012	0.01200011
505.5	0.02370192	0	0	0	0.6066	0.006	-0.1686	0.012	0.0120001
507	0.02370177	0	0	0	0.6084	0.006	-0.1704	0.012	0.0120001
508.5	0.02370163	0	0	0	0.6102	0.006	-0.1722	0.012	0.01200009
510	0.0237015	0	0	0	0.612	0.006	-0.174	0.012	0.01200008
511.5	0.02370138	0	0	0	0.6138	0.006	-0.1758	0.012	0.01200007
513	0.02370128	0	0	0	0.6156	0.006	-0.1776	0.012	0.01200007
514.5	0.02370118	0	0	0	0.6174	0.006	-0.1794	0.012	0.01200006
516	0.02370109	0	0	0	0.6192	0.006	-0.1812	0.012	0.01200006
517.5	0.023701	0	0	0	0.621	0.006	-0.183	0.012	0.01200005
519	0.02370092	0	0	0	0.6228	0.006	-0.1848	0.012	0.01200005
520.5	0.02370085	0	0	0	0.6246	0.006	-0.1866	0.012	0.01200005
522	0.02370078	0	0	0	0.6264	0.006	-0.1884	0.012	0.01200004
523.5	0.02370072	0	0	0	0.6282	0.006	-0.1902	0.012	0.01200004
525	0.02370067	0	0	0	0.63	0.006	-0.192	0.012	0.01200004
526.5	0.02370061	0	0	0	0.6318	0.006	-0.1938	0.012	0.01200003
528	0.02370057	0	0	0	0.6336	0.006	-0.1956	0.012	0.01200003
529.5	0.02370052	0	0	0	0.6354	0.006	-0.1974	0.012	0.01200003
531	0.02370048	0	0	0	0.6372	0.006	-0.1992	0.012	0.01200003
